Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
113785,-0.178655,-0.694139,-0.506603,1.272883,0.536297,-0.38563,-0.236446,-1.567177,0.388474,-1.759816,0.751796,0.128622,2.386952,-1.100136,-0.102662,1.798288,1.19139,-0.696212,0.223967,0.001999,0.281956,-0.69868,-0.08932,-1.598052,0.135123,0.450021,-0.227419,-1.615051,240.52,0
154293,0.160731,-2.962971,-0.0284,-1.719766,-3.923496,-3.892092,2.117647,-1.891054,2.600885,-2.784091,-0.771987,4.481692,-4.143467,-6.244536,1.716475,-3.567023,-1.551766,-2.964796,-0.829593,-3.876341,-1.94985,-0.375462,-4.020772,-3.25021,-2.368457,-5.072039,-2.556402,-1.203009,20.28,1
169934,0.060386,-1.302652,-0.051197,-0.07973,1.797561,0.894213,0.011445,0.248787,0.044212,-0.202914,-1.082427,-0.151052,-0.746098,-1.250316,0.511222,0.391265,-1.786708,-0.122685,0.995701,1.059224,1.025837,0.038913,-0.845045,-1.083699,0.344605,0.37928,1.287331,1.09998,44.78,0
151850,1.739648,-0.482232,0.999336,0.097413,0.795778,-0.447158,-0.049559,-0.115499,-0.836057,0.662082,0.650249,0.593555,1.536966,1.449345,-0.374945,0.373052,-0.623601,0.023355,-0.599749,1.62007,0.363698,-0.218029,1.193619,-2.170615,-2.014103,0.795839,0.060468,0.250446,7.47,0
160573,0.530694,-0.196004,-0.342153,-1.406914,-1.977749,-0.261562,0.056497,-1.28613,-0.034475,0.053753,-2.156008,-0.915125,0.407264,0.387059,-1.153675,0.158448,1.022407,0.777073,-0.095286,-0.467976,-0.629344,0.46782,0.195104,0.629404,0.131874,0.818764,0.094593,0.784689,201.59,0
74549,1.114592,0.383377,-0.131138,0.348776,1.951013,2.076981,0.069381,0.160191,1.07624,-0.845661,0.33307,-0.025863,0.313908,-0.833369,-1.589567,-2.072983,-1.117384,-0.458675,-0.293192,1.937231,1.105993,-0.962091,0.347708,-0.407078,-0.284364,0.185326,0.619171,-0.339258,269.29,0
163925,1.484919,-1.058281,-1.322541,-0.486194,0.420227,-0.102397,-0.650564,-0.674212,-0.712337,-0.87951,2.281633,0.297511,0.886759,-0.489077,-0.185957,-0.713554,-2.651708,-1.378009,-1.810619,-2.249784,-1.195359,1.324956,-0.044436,1.290564,0.410983,0.782559,-0.900897,0.523951,162.89,0
87389,-3.578215,-0.508979,-0.73605,0.734497,0.380959,1.352032,-1.504796,-0.741333,-0.221216,-1.145858,-2.492986,-2.331106,-3.543896,-0.445958,-1.735038,-3.157934,-3.155612,-4.525997,0.947103,-1.303456,-3.657,0.521369,-2.901122,-5.016252,1.053056,-2.842742,-2.522248,-1.39705,46.6,1
24151,0.053155,8.4e-05,-0.721558,0.316494,-0.097287,2.093168,1.573355,0.385847,-0.763057,-1.112411,1.191143,0.262749,0.480143,-1.744586,0.927438,0.45442,-1.110431,-0.471525,0.263717,0.052467,-0.292171,-0.103488,-0.251977,0.152563,1.471492,-2.566658,-0.23685,0.176512,85.11,0
55323,0.677485,-0.743861,-0.521539,-0.943954,1.301158,0.633422,0.604993,1.247211,2.812649,-1.709226,-0.738377,-0.616175,-0.85082,-1.077583,-0.299653,-1.216604,0.335042,0.051698,0.481029,0.507728,0.603007,-0.373409,2.121143,0.234431,-1.862485,-1.002376,-1.740503,0.017335,45.48,0
46748,-1.172007,-0.51828,1.511228,0.637534,-0.69893,-1.013717,0.032782,-1.21656,-0.67114,0.312009,1.155312,0.608761,-2.29129,0.304367,0.072034,0.41389,1.61621,-2.063238,-0.591103,0.590906,-1.581594,1.475949,0.368357,0.846584,-0.570944,0.813764,1.068472,0.232878,77.6,0
171904,-0.008795,0.5132,-0.418849,2.229732,-1.56793,1.260937,1.367907,-0.852159,2.229274,0.99549,0.971139,0.028022,-0.217226,-0.209409,0.390531,1.401186,0.181314,-0.911444,0.824427,0.921151,0.65466,0.745499,-0.270928,-0.928989,-0.868193,-1.635463,0.236949,-0.083449,28.22,0
80248,-5.83744,-0.25053,-5.697776,-1.770583,-2.584069,-6.712571,-0.527406,-2.450095,-6.748016,0.59892,2.087515,2.225311,-0.602609,-1.384855,1.820392,2.705959,1.333922,-3.853844,-0.996638,-0.40121,-6.024042,-0.326598,4.18248,0.09984,2.183533,-1.042713,-1.683046,-0.546822,22.0,1
90203,1.837387,-0.335939,1.90506,0.035576,1.753691,-0.093299,0.131058,0.365474,3.178854,0.851286,-0.707265,0.968998,-0.361833,-0.48975,0.908601,0.031086,0.278576,0.013985,0.336583,0.424966,-1.936967,0.666573,-0.982019,-1.442299,-0.058411,0.083981,-0.693506,0.831032,7.29,0
94983,-2.941746,-2.623709,2.198976,-1.771342,-3.464491,-2.790744,1.250927,0.189017,-0.099177,-2.143803,-0.066594,-3.108903,-2.149035,0.924511,0.685694,-3.954775,-3.638816,-1.228245,2.815331,-6.288913,-0.804168,-4.940108,-3.085827,-2.411071,-2.551271,-2.83449,-1.481982,-2.838139,5.58,1
89658,-0.158635,-1.035654,-1.674683,-0.486308,-0.053783,1.76793,0.130275,0.98274,-0.499296,-1.184944,-0.965117,-0.725226,2.12847,-0.821387,0.838489,-0.902927,0.931573,0.384951,-0.156638,-0.040763,-0.654788,0.446072,-0.454983,-1.225606,-1.277938,0.172588,1.579091,0.159992,45.7,0
78193,1.575083,0.488669,0.170625,-0.560449,0.031047,-0.252063,-0.785977,-0.289876,0.198381,-0.767217,-0.806282,-1.360243,0.390725,0.545323,0.23166,0.96517,0.087868,0.392011,0.303837,-0.09154,-0.530822,2.214153,-0.451951,-0.665878,0.43401,0.251854,-1.404792,1.122678,47.4,0
2380,-0.871216,2.000963,0.056412,0.245371,-1.776398,-0.653963,0.215303,-1.024529,0.908063,-1.202697,-0.286366,-0.586052,0.164321,-0.64049,-0.270894,-0.23613,-0.734388,0.485094,0.238388,-0.088614,-0.430458,0.796544,-0.235834,-0.306697,0.10469,1.696587,-1.340356,0.769857,3.19,0
107078,-0.955625,0.437512,-1.241756,-0.204069,0.109648,2.44513,-1.377316,1.472015,0.149842,0.411172,0.118348,0.444727,-0.153685,1.45405,-0.456471,1.132235,-0.644367,-0.060252,-1.071963,0.455024,1.445126,-0.077356,-0.196886,-1.114617,-0.229293,-1.592794,-0.912878,0.226786,394.86,0
133419,0.006339,2.597674,0.22308,1.433215,0.09152,0.580777,-0.056783,-0.170408,-0.779482,0.430301,-0.851537,0.665585,1.085287,0.366531,-0.286249,0.453966,-0.308673,0.935547,-1.831406,-0.335607,-1.990812,-1.495061,1.363862,0.895185,-0.71948,-1.502503,-2.964529,-0.543496,2060.33,0
129252,-1.427136,-1.767622,0.109485,1.125044,-0.013416,-2.260415,-0.19076,-0.162799,2.095999,-1.457138,-0.390678,1.705853,0.449978,0.563313,0.114584,0.329944,0.77761,-0.809486,0.878059,-1.373003,0.328368,0.178741,-0.616293,-0.022685,-0.62254,-1.071701,-0.353615,-1.103989,88.61,0
159645,-0.336832,0.619702,0.339875,0.316048,0.409828,0.616135,-2.107953,-0.364438,-2.18021,0.03606,-0.004633,1.045532,1.187634,0.202775,-0.500361,0.485161,-0.527918,-0.001393,0.986136,-0.557771,0.805679,0.677401,-0.954792,0.973894,0.698566,0.101926,-0.762323,-0.859206,24.37,0
149945,0.915903,-1.326393,0.030631,-0.484169,-0.327673,1.002758,0.538115,1.337398,-0.154506,-0.695943,-0.223859,0.242497,0.176573,-1.084388,0.09049,0.228228,2.517474,1.876845,-0.853243,-0.287383,-1.463442,-0.590707,0.315605,1.205854,-0.729084,-0.654146,-2.147289,-0.162666,11.09,0
140810,0.465498,0.93996,-1.887826,2.077298,1.921173,-0.891503,-3.554729,2.438442,-1.652543,-1.184587,-2.349013,-3.724476,-5.171599,0.082171,-3.458503,6.148828,-4.215184,-4.643456,-0.224653,2.323284,-1.338526,-0.069394,-6.108869,-3.193779,-4.184039,-6.237615,-1.207549,-7.107069,11.9,1
35319,-0.319107,0.217231,-0.202083,-0.577894,0.252885,-0.503958,-0.628066,0.311453,-0.401993,0.244104,0.273204,-1.139429,-0.481241,1.437777,-1.16208,-2.116654,-1.861845,0.02911,0.030917,-0.117611,1.21419,-2.672834,0.395934,1.561438,-1.127781,-0.379807,-0.752892,-0.894346,33.47,0
170301,0.548428,0.187974,-1.448127,-0.06798,0.262036,-0.899695,0.189843,-1.454822,1.336186,1.24795,-0.252517,0.363454,-2.409922,-1.156348,-0.293779,-1.072133,0.714396,1.997297,-1.176615,-0.837463,0.235448,1.611116,-1.222374,0.249036,1.821299,-1.651759,-1.281069,-0.423607,25.01,0
72535,-0.016837,1.822055,-1.522199,1.027581,-1.018316,0.102472,-0.242619,-0.958012,-0.983102,0.276414,0.995539,-0.129736,0.070113,0.571174,-0.971619,0.739693,0.819343,2.603626,-0.376104,-0.458082,0.768966,0.819104,-0.535087,-0.403163,0.541131,-0.827584,-0.410534,0.089593,243.21,0
29884,-0.371717,-0.893131,0.011451,-0.299265,-1.015068,2.048756,1.785168,1.136049,-0.92085,0.855019,0.639626,0.442546,1.249665,0.635371,0.740014,0.636906,0.340791,-1.783611,0.083621,-0.556192,-1.279841,1.681817,1.728995,1.359221,0.255213,1.350625,0.012053,0.202797,10.59,0
134204,0.393377,-1.396962,0.655618,-1.084611,1.412513,1.024099,0.289885,0.157233,-0.209032,0.678524,-0.370778,0.23557,0.871934,-0.561807,-0.616193,-1.194365,-1.064473,-1.828395,0.729829,1.808915,1.425329,-1.626084,0.724855,1.422106,-0.45681,0.101447,-2.007893,0.266736,11.07,0
144802,0.276274,-1.412766,-2.310103,0.054354,-0.471776,0.459386,0.701954,0.138241,0.760133,0.229211,0.530065,-0.704673,-0.179611,0.196776,0.820528,-0.393741,0.521167,-0.265839,-0.117542,0.829519,-1.99306,-1.296472,-1.482185,-2.333616,-0.678264,0.749434,-0.284884,0.19779,279.73,0
28122,-0.350952,-1.02228,-0.096179,1.128019,-2.280738,-1.496639,-0.922886,1.461179,0.282587,0.767317,-1.140161,-1.119536,0.447814,0.058274,0.548739,-0.187671,0.278144,0.158119,0.777767,0.807008,-1.619872,-2.247269,1.001745,1.187725,-1.020623,-1.859835,0.099035,0.930838,809.48,0
112293,0.665385,-0.098485,-0.423298,-0.079718,-1.687334,-1.447112,-1.3227,-0.997247,0.399774,-0.905479,-0.378163,1.299228,-0.356264,0.737516,-0.933618,-0.205438,-0.950022,-0.339033,0.840308,-1.72732,0.434424,0.237736,-0.59415,-1.446058,0.07213,-0.529493,0.232676,0.021852,603.45,0
101337,-0.559572,0.46508,-1.560958,-0.297323,0.099477,-0.086101,0.790806,0.344645,0.668326,-0.688372,0.897815,1.628937,-0.97015,-0.887696,1.335784,-0.191344,1.403821,-0.442536,1.455046,0.131486,0.258229,1.564718,-0.36177,-0.941122,-0.448564,0.452334,-1.565759,0.637471,24.33,0
122780,-0.088796,0.003796,1.718795,-2.319611,-2.001546,-0.543171,0.014528,0.690104,0.473087,-0.384246,1.019044,1.030195,0.184058,0.962658,0.272645,-0.561483,0.697817,0.110613,0.00134,1.472954,-2.450872,-1.417684,-1.18707,-0.363261,-0.254608,-1.507326,-0.985158,-0.860842,2177.94,0
54948,2.211042,-0.529439,-0.876861,-0.094263,-1.757728,-1.467045,2.129247,-1.287423,-1.096786,1.836914,2.905067,-1.171567,-0.368249,0.341556,1.728698,-0.986857,-0.245278,0.777338,0.434766,-0.376156,-0.133823,-1.374896,-0.238174,-0.266387,0.23217,-0.555327,0.471539,1.012716,68.93,0
91175,1.049499,0.843937,1.479462,-0.190072,-2.054761,-0.188586,0.811736,-0.9698,-0.176366,-0.69177,1.502029,0.749457,0.651541,0.621601,-0.037249,0.197556,-1.185185,-2.186442,0.150081,0.32399,1.209265,1.571336,1.569998,-0.998024,-0.352265,0.480334,2.531905,1.480099,292.68,0
138952,1.306002,0.219383,-0.410927,1.106289,0.428756,1.535756,0.183234,-1.224469,-1.368159,1.650928,1.723666,-0.179519,-0.383187,1.461444,-1.107046,-0.894727,0.643327,-0.394605,-0.005122,-0.163443,0.337575,1.407482,0.090585,0.643939,-2.050172,-0.048718,-0.84323,-1.218813,14.63,0
58706,-0.317287,-1.466186,-1.093737,1.026906,-1.921505,1.128991,-0.055102,-1.192395,-0.583115,-1.017224,0.866225,0.732428,-1.719161,-0.403592,-0.863186,1.29351,-1.350099,1.604229,-0.033295,-1.161934,-0.677274,-0.801619,-1.274618,0.094827,-1.227916,-2.180366,-0.379676,-1.802856,17.67,0
141908,-0.586585,1.4353,0.243752,-0.151248,0.432594,0.061916,0.110396,-0.408333,-1.39811,-1.543625,0.653245,-0.2767,-0.596089,0.008506,0.794932,0.180364,-0.656055,1.226293,1.579186,0.494557,0.973664,1.24196,1.130099,0.614099,0.598347,0.519661,-1.097338,0.700723,7.14,0
90736,-1.549754,-3.139359,0.227656,2.089945,-2.660951,-0.287004,-2.099043,-0.586282,2.414449,-0.228351,-5.933536,-0.365011,1.582159,-2.05399,0.989087,-3.225289,-5.213848,-1.147077,-5.891192,-2.099428,1.717106,-6.274407,-4.698742,-4.080081,-1.6583,-2.414292,1.997841,0.885871,34.03,1
110667,-0.726015,-0.2806,-1.500669,-1.02541,-0.537811,1.228421,-0.639503,0.640214,-0.538316,0.247948,-0.141396,0.873057,-0.534811,-1.572528,-1.381949,-0.531877,-1.24906,0.410212,-0.465768,2.374607,-1.737715,0.203633,-1.127953,-0.493401,0.141419,-2.325371,0.236826,1.902907,27.66,0
126425,3.5785,-1.581186,1.070134,-1.633257,-1.57686,-2.960073,-1.20219,-0.705003,-3.460646,-1.812611,-3.025247,4.24916,-1.724327,2.36308,-1.989056,-0.851781,-4.80341,-2.617681,-0.973663,2.46501,-0.945043,1.959301,0.101823,2.568503,-1.647606,4.475557,-2.713491,-3.416155,9.92,1
100680,0.324013,-0.76019,0.577403,0.046557,0.761855,1.175507,0.192421,1.132052,-2.344298,1.590452,0.375062,1.077843,-1.219876,-0.83077,0.145938,-0.017038,0.283069,1.084515,-1.76522,0.973819,0.008282,-0.203782,-1.471115,0.503049,-2.414108,0.648394,-1.492106,0.053458,45.66,0
89935,2.003509,0.8242,0.169707,-0.439054,-0.394573,-2.129198,0.25764,0.845483,-1.575619,-0.661417,-1.157465,-0.965351,0.053482,-2.084402,0.61427,0.753855,-0.251103,-2.480709,-0.996419,1.232902,-2.777994,-0.347523,-1.180001,0.80457,-0.675114,0.403954,0.56546,1.836226,40.27,0
2731,0.711977,-1.181479,-0.566295,-0.624603,1.325147,0.33029,-0.211734,0.498719,-2.107192,-0.043134,1.997514,0.132347,0.067913,0.548128,0.895605,-1.997467,-1.682326,0.210291,-0.714877,1.312025,-0.315174,-1.934531,-1.268014,-2.749676,-0.234126,-0.188384,-0.424463,1.078879,329.57,0
31332,1.188784,0.625676,-1.264542,1.777183,0.658797,-0.010196,1.590219,0.159298,-0.028083,-0.6603,0.58185,0.476603,0.01468,-0.789986,0.12993,-0.069799,-1.333474,-1.471812,0.565153,-2.601888,0.205411,-0.478083,1.308247,-0.493468,0.659484,-0.396914,0.113748,0.736837,27.28,0
92831,0.291231,1.473611,1.226034,-2.867055,-0.317439,-0.164651,-1.752099,0.094183,1.248758,-1.086568,0.336401,-0.915823,-0.671912,1.477394,-0.542558,0.462212,-1.871218,1.862318,0.602652,-0.1825,0.575547,-1.409819,1.182531,-0.323985,-0.20407,-0.491656,-0.580651,0.694671,80.15,0
2440,-0.993698,0.294593,0.92264,0.660037,1.916445,-0.763439,-1.379149,-0.994335,0.660443,0.497923,0.102257,-1.122957,0.766867,-1.224705,1.15895,2.857438,0.366451,0.583108,-0.49286,-1.810213,-0.602719,-1.092895,-1.447005,1.72236,0.272863,0.379688,-0.309022,-0.172871,232.02,0
146671,-0.87611,-0.226455,0.747272,0.05741,-1.117328,0.414616,0.578662,0.087963,0.219585,-0.258706,1.478279,-0.900692,-0.587321,0.010986,0.878954,-1.497373,-1.310297,-2.037729,0.032695,-1.118306,-0.38455,0.661378,-0.641543,0.231282,-0.299338,0.672114,0.475128,-0.691934,42.39,0
14598,-4.497793,-0.140307,-2.712474,3.21981,-1.502799,-7.087589,-0.606588,3.361494,2.439801,3.077386,-4.0494,0.780381,-3.304986,-0.939277,-4.682381,-3.111139,-3.190617,0.746388,0.501798,-0.807951,-4.876054,-2.279099,-3.365291,0.674189,1.445462,1.140964,-3.388049,-8.348833,37.54,1
69858,-0.8832,0.788908,-1.100661,-0.238436,-0.114778,1.592912,-0.354697,-2.43925,0.504445,-0.699022,0.042631,-0.086705,-0.273704,0.790341,-1.532865,-0.517014,0.684038,-0.614085,-1.608807,0.668555,1.123095,-0.044995,-1.960846,0.70597,-1.659888,0.308799,-0.887464,-1.159839,28.14,0
65420,0.55954,0.566188,-0.549553,-1.122768,-1.184128,0.086506,0.32701,-0.792526,0.026585,0.570537,0.618191,1.55188,1.276981,-1.001291,1.683586,-0.530977,1.044873,0.067987,-0.412149,-1.807697,-0.171565,-1.559383,0.967299,1.516793,-0.796911,0.301971,-0.725392,-0.628485,174.47,0
38425,-0.819754,0.11135,-0.388633,1.477394,0.506583,-1.311803,0.671228,-0.774652,-0.576996,0.313819,-0.491747,0.892856,-0.77451,-0.618947,-0.656371,-0.565639,1.099192,0.628796,1.709944,2.267644,-1.030717,0.070419,-1.1762,-0.777606,-0.630083,-1.057155,-1.051887,-0.144284,8.8,0
79437,-1.247317,1.120841,-0.664626,0.360592,-1.390685,1.438705,-0.144028,0.29004,2.32578,1.51644,-0.306566,-0.59322,-0.325545,0.509898,-0.105224,-0.395244,1.467181,-0.11421,2.299589,0.090743,1.785318,0.357319,0.962961,-0.724611,-0.853759,0.459706,0.988553,0.040257,7.93,0
122013,-2.503137,-3.376812,2.606651,1.6629,-1.438878,-2.233508,-1.830253,-0.932093,2.500118,-0.443831,0.315073,1.423175,-4.42419,0.387155,-2.236422,-7.790238,-6.820424,-4.045294,-0.171942,-1.215501,-1.039083,3.377359,-4.672724,-1.568583,-0.738911,-3.340683,-1.429183,-5.499873,49.28,1
29326,1.024922,-0.163954,-0.58096,-2.275736,0.640991,-0.113168,-1.012684,0.126597,-0.58368,-0.528426,0.606291,-1.338382,1.047315,-1.397686,-0.662701,1.922946,1.127355,0.097604,-0.94053,-0.529272,0.073275,0.037523,-0.090871,-0.030833,-0.214375,-1.441979,-0.516511,0.914624,7.01,0
34234,-0.054704,1.165672,-1.036582,-0.08452,0.675145,-2.381267,1.033786,-1.182451,0.331995,0.246683,1.084586,0.550924,-2.37729,-0.784779,0.138205,-0.19498,0.477611,0.789367,0.608452,-0.214275,-1.846337,-0.455481,0.416368,-1.090447,0.631275,0.908393,0.126867,-3.06378,8.03,0
154221,-0.00192,0.408036,1.616874,0.131027,-1.002344,-0.109727,-0.035611,-1.364742,-0.255832,-0.742192,0.924358,0.034612,-0.282796,-0.106182,0.223122,0.616814,-0.999712,-1.041588,1.104679,-0.412337,-1.416842,0.443813,0.46337,-1.530715,0.229482,0.735583,0.374386,0.631981,6.64,0
92169,0.38218,0.607936,-5.351836,-0.752705,0.189947,-4.078005,-1.477067,-1.790667,3.105377,3.31124,-5.660891,4.734818,-3.788064,0.951683,0.926245,-3.989226,-0.266831,-1.768834,-0.114175,-0.923319,1.490849,-1.311501,-1.919685,1.240161,-0.04901,0.329533,-3.161467,-4.113157,8.31,1
26660,-0.917754,2.809569,-0.451384,0.072018,-1.295341,1.706092,1.119501,0.296916,-1.346803,0.210667,-1.121431,1.462355,0.809195,0.095439,-2.436376,-0.983416,0.687761,1.212884,1.10917,-1.592013,0.301552,1.015515,-1.658336,-0.007905,0.273842,-0.300765,-1.852162,-0.325698,33.42,0
98814,-1.561203,0.542858,1.024513,-0.78318,-1.136923,-2.156023,-0.266414,-0.581594,-1.551019,0.453019,-0.44997,-1.075736,-0.554572,1.071305,0.602937,-0.130026,0.619105,-1.160912,0.03237,0.147322,-0.469837,0.435458,-0.780433,0.509821,0.551859,-2.91716,1.190306,-3.047633,21.67,0
106133,0.55524,-1.711473,-0.215244,1.782294,-0.213797,-1.800479,1.893049,0.682393,-0.070013,-0.371418,1.082352,-0.541983,1.148256,0.542195,0.244682,0.145515,-0.174968,1.04564,-0.865343,-1.621925,0.61444,0.631238,0.480241,0.407728,-0.32054,0.787483,-0.045558,-0.487114,34.2,0
130002,1.303565,0.84022,1.487398,-0.271674,-1.152249,-0.240437,0.102031,0.078989,1.13368,-0.36127,0.352034,-0.988627,0.450317,0.003109,-0.749813,-0.235829,-0.184176,-0.270155,1.771341,-0.098446,-0.243896,-2.097451,-0.894207,-0.263073,-0.685853,1.381708,-0.164938,1.288444,59.89,0
127030,-0.584874,-0.046587,0.278864,-1.007893,0.724283,0.063002,-1.891946,-1.958591,-0.012319,-0.220967,-0.10342,-0.027982,0.22556,0.94765,-1.111105,-1.171972,-1.093324,0.288917,1.244947,-0.431339,-2.5017,-1.703993,-0.833037,-0.557729,-0.408389,0.038581,-0.311746,1.04934,19.81,0
